127.0.0.1 - - [15/Nov/2015:16:32:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Nov/2015:16:32:02 +0530] "GET /EventO_Server/ HTTP/1.1" 404 -
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:09:35 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:10:09 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:10:39 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=RollNumber667&emailID=Email+Idhh+did&name=Enter+Your+namehebdb&password=Enter+Password HTTP/1.1" 200 83
192.168.160.123 - - [15/Nov/2015:17:13:28 +0530] "GET /EventO_Server/login/login?rollNo=Enter+LoginIdbebe&password=Enter+Passwordbdbdb HTTP/1.1" 200 72
192.168.160.123 - - [15/Nov/2015:17:13:57 +0530] "GET /EventO_Server/login/login?rollNo=MT140004&password=Easy%40123 HTTP/1.1" 200 72
192.168.160.123 - - [15/Nov/2015:17:14:12 +0530] "GET /EventO_Server/login/login?rollNo=MT14004&password=Easy%40123 HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:16:00 +0530] "GET /EventO_Server/userRegistration/userRegistration?rollNo=14005&emailID=deepakdas%40gmail.com&name=deepak&password=deepak HTTP/1.1" 200 51
192.168.160.123 - - [15/Nov/2015:17:16:37 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:20:49 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:20:51 +0530] "GET /EventO_Server/getCurrentUserDetails/getCurrentUserDetails?rollNo=14005 HTTP/1.1" 404 -
192.168.160.123 - - [15/Nov/2015:17:22:39 +0530] "GET /EventO_Server/login/login?rollNo=14004&password=deepak HTTP/1.1" 200 72
192.168.160.123 - - [15/Nov/2015:17:22:55 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:22:57 +0530] "GET /EventO_Server/getCurrentUserDetails/getCurrentUserDetails?rollNo=14005 HTTP/1.1" 404 -
192.168.160.123 - - [15/Nov/2015:17:23:31 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:23:35 +0530] "GET /EventO_Server/getCurrentUserDetails/getCurrentUserDetails?rollNo=14005 HTTP/1.1" 404 -
192.168.160.123 - - [15/Nov/2015:17:24:55 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:24:59 +0530] "GET /EventO_Server/getCurrentUserDetails/getCurrentUserDetails?rollNo=14005 HTTP/1.1" 404 -
192.168.160.123 - - [15/Nov/2015:17:31:58 +0530] "GET /EventO_Server/login/login?rollNo=14005&password=deepak HTTP/1.1" 200 40
192.168.160.123 - - [15/Nov/2015:17:32:02 +0530] "GET /EventO_Server/getCurrentUserDetails/getCurrentUserDetails?rollNo=14005 HTTP/1.1" 404 -
